"","Pair","Ligand","Ligand.name","Receptor","Receptor.name"
"1","A2m_lrp1","A2m","alpha-2-macroglobulin","Lrp1","low density lipoprotein receptor-related protein 1"
"2","Aanat_mtnr1a","Aanat","aralkylamine N-acetyltransferase","Mtnr1a","melatonin receptor 1A"
"3","Aanat_mtnr1b","Aanat","aralkylamine N-acetyltransferase","Mtnr1b","melatonin receptor 1B"
"4","Ace_agtr2","Ace","angiotensin I converting enzyme","Agtr2","angiotensin II receptor, type 2"
"5","Ace_bdkrb2","Ace","angiotensin I converting enzyme","Bdkrb2","bradykinin receptor B2"
"6","Adam10_axl","Adam10","ADAM metallopeptidase domain 10","Axl","AXL receptor tyrosine kinase"
"7","Adam10_epha3","Adam10","ADAM metallopeptidase domain 10","Epha3","EPH receptor A3"
"8","Adam12_itga9","Adam12","ADAM metallopeptidase domain 12","Itga9","integrin, alpha 9"
"9","Adam12_itgb1","Adam12","ADAM metallopeptidase domain 12","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
"10","Adam12_sdc4","Adam12","ADAM metallopeptidase domain 12","Sdc4","syndecan 4"
"11","Adam15_itga5","Adam15","ADAM metallopeptidase domain 15","Itga5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
"12","Adam15_itga9","Adam15","ADAM metallopeptidase domain 15","Itga9","integrin, alpha 9"
"13","Adam15_itgav","Adam15","ADAM metallopeptidase domain 15","Itgav","integrin, alpha V"
"14","Adam15_itgb1","Adam15","ADAM metallopeptidase domain 15","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
"15","Adam15_itgb3","Adam15","ADAM metallopeptidase domain 15","Itgb3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
"16","Adam17_erbb4","Adam17","ADAM metallopeptidase domain 17","Erbb4","v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4"
"17","Adam17_itga5","Adam17","ADAM metallopeptidase domain 17","Itga5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
"18","Adam17_itgb1","Adam17","ADAM metallopeptidase domain 17","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
"19","Adam17_notch1","Adam17","ADAM metallopeptidase domain 17","Notch1","notch 1"
"20","Adam23_itga5","Adam23","ADAM metallopeptidase domain 23","Itga5","integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
"21","Adam23_itgb3","Adam23","ADAM metallopeptidase domain 23","Itgb3","integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
"22","Adam28_itga4","Adam28","ADAM metallopeptidase domain 28","Itga4","integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor)"
"23","Adam2_cd9","Adam2","ADAM metallopeptidase domain 2","Cd9","CD9 molecule"
"24","Adam2_itga6","Adam2","ADAM metallopeptidase domain 2","Itga6","integrin, alpha 6"
"25","Adam2_itga9","Adam2","ADAM metallopeptidase domain 2","Itga9","integrin, alpha 9"
"26","Adam2_itgb1","Adam2","ADAM metallopeptidase domain 2","Itgb1","integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
